ID,RP Residual,LH Residual,LH Outside,RP Improv,LH Improv,Gap
35123.0,25.260151736483945,292.86826143112125,4.0,269.7743893540079,2.1662796593705598,267.60810969463733
36267.0,21.32563873412212,274.1737561310007,4.0,255.01439705624912,2.1662796593705598,252.84811739687856
328.0,24.74603885284988,229.23204918224425,4.0,206.65228998876484,2.1662796593705025,204.4860103293944
48065.0,0.9975253483971528,189.0619531499665,8.0,191.6029678015694,3.538540000000012,188.06442780156937
37101.0,6.985761057565132,181.0307750222076,2.0,177.8094599646424,3.764445999999936,174.04501396464246
41573.0,0.3485686667745908,123.78658315050777,122.0,127.90215845048634,4.464143966753184,123.43801448373317
2955.0,0.0,96.49791895520976,3.0,99.47300295520974,2.975083999999981,96.49791895520976
41483.0,3.841074211028058,77.69017109041847,293.0,78.63194250055581,4.782845621165393,73.84909687939042
39573.0,0.0,64.79201915174318,62.0,68.14848411192523,3.356464960182052,64.79201915174318
43875.0,0.5168468794445111,62.17796873207054,189.0,64.8363621248863,3.1752402722602824,61.661121852626025
